# curie_map:
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://w3id.org/mc2-center/cckp-portal/crosswalks/tissue_ncit_to_uberon.sssom.tsv
# comment: supplementary NCIT->UBERON crosswalk for federation with sagebrain-model - NOT the mapping harmonize.py resolves against; review before treating any row as confirmed.
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
NCIT:C12725	Gonad	skos:exactMatch	UBERON:0000991	gonad	semapv:LexicalMatching	high
NCIT:C12252	Abdominal Esophagus	skos:exactMatch	UBERON:0035177	abdominal part of esophagus	semapv:LexicalMatching	low
NCIT:C12472	Adipose Tissue	skos:exactMatch	UBERON:0001013	adipose tissue	semapv:LexicalMatching	high
NCIT:C12666	Adrenal Gland	skos:exactMatch	UBERON:0002369	adrenal gland	semapv:LexicalMatching	high
NCIT:C12986	Alveolus	skos:exactMatch	UBERON:0003215	alveolus	semapv:LexicalMatching	high
NCIT:C12669	Aorta	skos:exactMatch	UBERON:0000947	aorta	semapv:LexicalMatching	high
NCIT:C12372	Artery	skos:exactMatch	UBERON:0001637	artery	semapv:LexicalMatching	high
NCIT:C12265	Ascending Colon	skos:exactMatch	UBERON:0001156	ascending colon	semapv:LexicalMatching	high
NCIT:C12376	Bile Duct	skos:exactMatch	UBERON:0002394	bile duct	semapv:LexicalMatching	high
NCIT:C12414	Bladder	skos:exactMatch	UBERON:0004230	urinary bladder neck smooth muscle	semapv:LexicalMatching	low
NCIT:C12434	Blood	skos:exactMatch	UBERON:0000178	blood	semapv:LexicalMatching	high
NCIT:C12679	Blood Vessel	skos:exactMatch	UBERON:0001981	blood vessel	semapv:LexicalMatching	high
NCIT:C12366	Bone	skos:exactMatch	UBERON:0004251	hindlimb zeugopod bone	semapv:LexicalMatching	low
NCIT:C12431	Bone Marrow	skos:exactMatch	UBERON:0002371	bone marrow	semapv:LexicalMatching	high
NCIT:C12439	Brain	skos:exactMatch	UBERON:0000955	brain	semapv:LexicalMatching	high
NCIT:C12971	Breast	skos:exactMatch	UBERON:0000310	breast	semapv:LexicalMatching	high
NCIT:C12381	Caecum	skos:exactMatch	UBERON:0001153	caecum	semapv:LexicalMatching	high
NCIT:C12256	Cardia	skos:exactMatch	UBERON:0004996	mucosa of cardia of stomach	semapv:LexicalMatching	low
NCIT:C12373	Cartilage	skos:exactMatch	UBERON:0004273	cartilaginous joint suture	semapv:LexicalMatching	low
NCIT:C12311	Cervix Uteri	skos:exactMatch	UBERON:0000002	uterine cervix	semapv:LexicalMatching	low
NCIT:C12344	Choroid	skos:exactMatch	UBERON:0002443	choroidal blood vessel	semapv:LexicalMatching	low
NCIT:C12382	Colon	skos:exactMatch	UBERON:0001155	colon	semapv:LexicalMatching	high
NCIT:C12964	Connective and Soft Tissue	skos:exactMatch	UBERON:0001734	palatine uvula	semapv:LexicalMatching	low
NCIT:C12342	Cornea	skos:exactMatch	UBERON:0000964	cornea	semapv:LexicalMatching	high
NCIT:C12263	Duodenum	skos:exactMatch	UBERON:0002114	duodenum	semapv:LexicalMatching	high
NCIT:C12394	Ear	skos:exactMatch	UBERON:0001690	ear	semapv:LexicalMatching	high
NCIT:C28147	Embryo	skos:exactMatch	UBERON:0000922	embryo	semapv:LexicalMatching	high
NCIT:C34153	Embryonic Heart	skos:exactMatch	UBERON:0006283	future cardiac ventricle	semapv:LexicalMatching	low
NCIT:C12309	Endocervix	skos:exactMatch	UBERON:0000458	endocervix	semapv:LexicalMatching	high
NCIT:C12313	Endometrium	skos:exactMatch	UBERON:0001295	endometrium	semapv:LexicalMatching	high
NCIT:C12481	Endothelium	skos:exactMatch	UBERON:0001986	endothelium	semapv:LexicalMatching	high
NCIT:C12710	Epithelium	skos:exactMatch	UBERON:0000483	epithelium	semapv:LexicalMatching	high
NCIT:C12389	Esophagus	skos:exactMatch	UBERON:0001043	esophagus	semapv:LexicalMatching	high
NCIT:C12401	Eye	skos:exactMatch	UBERON:0000970	eye	semapv:LexicalMatching	high
NCIT:C12403	Fallopian Tube	skos:exactMatch	UBERON:0003889	fallopian tube	semapv:LexicalMatching	high
NCIT:C33049	Foreskin	skos:exactMatch	UBERON:0004812	male prepuce epithelium	semapv:LexicalMatching	low
NCIT:C12352	Frontal Lobe	skos:exactMatch	UBERON:0016525	frontal lobe	semapv:LexicalMatching	high
NCIT:C32668	Gastroesophageal Junction	skos:exactMatch	UBERON:0004550	gastroesophageal sphincter	semapv:LexicalMatching	low
NCIT:C34082	Gastrointestinal Tract	skos:exactMatch	UBERON:0011565	lumen of gastrointestinal system	semapv:LexicalMatching	low
NCIT:C12810	Genitourinary	skos:exactMatch	UBERON:0004122	genitourinary system	semapv:LexicalMatching	low
NCIT:C13317	Hair Follicle	skos:exactMatch	UBERON:0002073	hair follicle	semapv:LexicalMatching	high
NCIT:C12418	Head and Neck	skos:exactMatch	UBERON:0009141	craniocervical region vein	semapv:LexicalMatching	low
NCIT:C12727	Heart	skos:exactMatch	UBERON:0000948	heart	semapv:LexicalMatching	high
NCIT:C12371	Heart Muscle	skos:exactMatch	UBERON:0003452	trabecula carnea cardiac muscle tissue	semapv:LexicalMatching	low
NCIT:C12909	Hematopoietic System	skos:exactMatch	UBERON:0002390	hematopoietic system	semapv:LexicalMatching	high
NCIT:C12444	Hippocampus	skos:exactMatch	UBERON:0003881	CA1 field of hippocampus	semapv:LexicalMatching	low
NCIT:C12736	Intestine	skos:exactMatch	UBERON:0000160	intestine	semapv:LexicalMatching	high
